#session,ID,Occasion,Detector,Sex
1,KS_090607M,30,K08,m
1,KS_090607M,33,K01,m
1,KS_090607M,34,K05,m
1,KS_090607M,37,K06,m
1,KS_090607M,40,K05,m
1,KS_090722M,5,K02,f
1,KS_090722M,13,K02,f
1,KS_090722M,27,K02,f
1,KS_090722F,13,K02,m
1,KS_090722F,17,K02,m
1,KS_090722F,29,K02,m
1,KS_090725M,5,K01,m
1,KS_090725M,26,K06,m
1,KS_090725M,27,K04,m
1,KS_090725M,31,K04,m
1,KS_110225M,11,K08,f
1,KS_110225M,32,K06,f
1,KS_110225F,13,K09,m
1,KS_110225F,32,K09,m
1,KS_130120M,28,K11,m
1,KS_130120M,45,K10,m
1,KS_130120F,28,K11,m
1,KS_130120F,39,K11,m
1,KS_130605F,40,K11,m
1,KS_130705F,15,K15,f
1,KS_130705F,18,K21,f
1,KS_130705F,19,K27,f
1,KS_130705F,36,K17,f
1,KS_130705F,44,K30,f
1,KS_130724F,29,K34,m
1,KS_130724F,35,K19,m
1,KS_130725F,5,K25,m
1,KS_130725F,15,K25,m
1,KS_130725F,33,K47,m
1,KS_130725F,47,K56,m
1,KS_130725F,67,K47,m
1,KS_130730F,17,K27,f
